symbol,Alpha,Beta,R Squared,R Squared Adj
EXIM1STMF,-0.00013862683212331918,0.5503332333115665,0.0177672077015828,0.017014538895223863
EXIMBANK,-5.739580984698323e-05,1.3021272402082453,0.24985310022174934,0.24927827501119126
FAMILYTEX,-0.0018956167524361426,1.4173017650576238,0.1231876600550772,0.12251577320454465
FARCHEM,-0.0009683102232438682,1.5848970871286607,0.15507055635792688,0.1543886116899349
FAREASTFIN,-0.0006424079713123695,1.5004227764676537,0.12554622494645828,0.12487614542534442
FAREASTLIF,-0.00038788662172337655,0.8466656084945108,0.08926523793384378,0.08856735689011486
FASFIN,-0.0002264347318937496,1.6768699373563691,0.17392023214979613,0.17328722083343573
FBFIF,-0.0004707905135965655,0.6256960724306854,0.0259539025254224,0.025207507048430333
FEDERALINS,-0.00040661270061834875,1.3043687503039485,0.12873751413367474,0.12806988004488828
FEKDIL,-0.000694974199058671,1.3372555583726726,0.12981122846039894,0.1290908735170715
FIDELASSET,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
FINEFOODS,0.0009140789517596336,0.7389635132946111,0.0244338384970757,0.023686278220061863
FIRSTFIN,-0.0005291275104844963,1.2666292571576176,0.08682129281388695,0.08596384801840706
FIRSTSBANK,-8.082918344219657e-05,1.350323364332577,0.23955425361441196,0.23897153656737313
FLEASEINT,-0.0005989998208228291,0.34448674119860545,0.04529264444490477,0.04456106792723802
FORTUNE,-0.00043621805547077645,1.0695872573543872,0.07094278244553154,0.06959827127685647
FUWANGCER,-0.0002107302100266826,1.3413519272127303,0.13548347312315534,0.13482100835160216
FUWANGCER ,-0.00025792660754981553,0.00033253780471242727,2.399749153059183e-06,-0.0008809903570756727
FUWANGFOOD,-9.141238760524026e-05,1.2683742968222451,0.1226157136870677,0.12194338856345621
GACHIHATA,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
GBBPOWER,-0.00030591431677461366,1.4409496677412688,0.18830261606431475,0.187680625731797
GBJVFOOD,-0.00024131386599206357,-1.938011383317839e-18,-0.02567372268979007,-0.026459679565414396
GEMINISEA,0.0009357351421740719,0.3342771399216879,0.0029078819475937268,0.002143826684718242
GENEXIL,0.003113831710274044,1.558085224619333,0.10452207398114377,0.09741510631432748
GENNEXT,-0.001004738122999547,1.414788067661253,0.17867977894476839,0.17805041479070305
GHAIL,3.358578381524145e-05,1.3586389566851533,0.13006450701874617,0.12939788978274513
GHCL,-0.00010652646620968863,0.9777169821831265,0.09828678441851701,0.09759581643722848
GLAXOSMITH,0.000151335009038057,0.3183478993884718,0.020866038775444573,0.020115744552283932
GLOBALINS,0.0002719831657513611,1.4252913366692963,0.10346830025873532,0.10278130278766917
GOLDENSON,-0.0012566015171097409,1.4586380609015082,0.1662125231110294,0.16557360550421785
GP,0.00021423785278514904,0.7036486544407476,0.13558049222210533,0.13491810179468933
GPHISPAT,-5.8933363983354334e-05,1.1134161721024773,0.10417736146430834,0.1034909073351622
GQBALLPEN,-0.00039533995823422355,1.0080532118748124,0.08296828583310634,0.08226557953872549
GRAMEEN1,-0.0006564298611126074,0.4059295595691171,0.034570442928550826,0.03383065016451137
