,Symbol,Avg Return,Sharpe Ratio,Horizon Return
81,BNICL,0.12,-16.12,3.45
186,ITC,0.06,-16.14,-2.87
138,FIRSTFIN,-0.14,-16.14,-21.47
133,FASFIN,-0.05,-16.18,-13.62
273,PRIMELIFE,0.16,-16.22,7.53
251,PARAMOUNT,0.21,-16.23,13.67
41,AL-HAJTEX,-0.01,-16.27,-9.84
200,LANKABAFIN,-0.04,-16.3,-12.79
335,TAKAFULINS,0.2,-16.31,11.55
295,RUPALIBANK,0.01,-16.32,-7.31
325,SPCERAMICS,0.15,-16.34,6.59
334,SUNLIFEINS,-0.07,-16.35,-15.48
126,ETL,-0.12,-16.36,-19.31
117,EASTERNINS,0.2,-16.36,11.75
265,PRAGATILIF,0.19,-16.49,11.27
116,DUTCHBANGL,0.03,-16.49,-8.22
56,ASIAINS,0.18,-16.52,10.51
268,PREMIERLEA,0.0,-16.55,-8.38
131,FAREASTFIN,-0.2,-16.55,-25.58
23,1STPRIMFMF,0.16,-16.55,8.2
92,CENTRALPHL,-0.15,-16.57,-21.71
77,BERGERPBL,0.05,-16.6,-4.61
108,DHAKAINS,0.26,-16.61,19.81
190,JMISMDL,0.36,-16.67,32.45
100,DAFODILCOM,0.42,-16.69,40.55
48,ANWARGALV,0.25,-16.71,18.61
242,NTLTUBES,0.11,-16.72,2.36
249,PADMALIFE,-0.04,-16.73,-12.44
177,ILFSL,-0.06,-16.74,-14.17
51,APEXSPINN,0.22,-16.74,14.92
95,CNATEX,-0.38,-16.76,-37.72
338,TOSRIFA,-0.06,-16.76,-13.95
97,CONTININS,0.19,-16.79,11.2
47,ANLIMAYARN,0.21,-16.85,13.57
341,TUNGHAI,-0.33,-16.85,-34.53
140,FORTUNE,-0.08,-16.92,-15.05
354,WATACHEM,0.41,-16.97,39.6
243,NURANI,-0.1,-16.98,-16.65
106,DESHBANDHU,0.05,-16.99,-3.1
181,IPDC,0.16,-17.04,7.88
218,MHSML,-0.23,-17.09,-26.99
54,ARAMIT,0.15,-17.1,7.0
89,CAPMBDBLMF,-0.11,-17.14,-17.62
234,NFML,-0.14,-17.24,-20.44
217,METROSPIN,0.0,-17.34,-7.24
216,MERCINS,0.24,-17.35,17.73
109,DOREENPWR,0.06,-17.36,-1.46
277,PTL,0.36,-17.39,33.09
245,OIMEX,-0.72,-17.43,-55.87
135,FEDERALINS,0.1,-17.43,2.48
303,SALVOCHEM,0.06,-17.47,-1.56
194,KBPPWBIL,-0.15,-17.53,-20.57
356,YPL,-0.3,-17.56,-32.06
252,PDL,-0.18,-17.62,-23.12
293,RNSPIN,-0.29,-17.63,-31.64
255,PF1STMF,0.14,-17.64,6.19
264,PRAGATIINS,0.17,-17.65,10.24
94,CITYGENINS,0.19,-17.7,12.33
343,UNIONCAP,-0.09,-17.76,-15.81
279,PURABIGEN,0.11,-17.77,3.16
42,ALIF,-0.61,-17.85,-50.51
141,FUWANGCER,0.01,-17.86,-6.54
256,PHARMAID,0.25,-17.86,19.91
157,GSPFINANCE,0.1,-17.89,2.25
